,sentence,sentence_with_entity,subject_entity,object_entity,설아,보림,재윤,치영,동진
10,"사모예드견은 순하고 친근하고 솔직하며, 기민하고 매우 발랄하다.","<sbj:사모예드견>은 순하고 <obj:친근>하고 솔직하며, 기민하고 매우 발랄하다.","{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 11, 'end': 12, 'text': '친근', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
11,"사모예드견은 몸무게 15-30kg, 어깨높이 48-58cm이다.","<sbj:사모예드견>은 몸무게 <obj:15-30kg>, 어깨높이 48-58cm이다.","{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 11, 'end': 17, 'text': '15-30kg', 'type': 'noh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
12,"삽살개는 개 품종의 하나로, 삽사리라고도 한다.","<sbj:삽살개>는 개 품종의 하나로, <obj:삽사리>라고도 한다.","{'start': 0, 'end': 2, 'text': '삽살개', 'type': 'anm'}","{'start': 16, 'end': 18, 'text': '삽사리', 'type': 'anm'}",anm:alternate_name,anm:alternate_name,anm:alternate_name,anm:alternate_name,anm:alternate_name
13,삽살개의 꼬리는 들려 올라가며 머리가 커서 그 모습이 꼭 사자를 닮았다.,<sbj:삽살개>의 <obj:꼬리>는 들려 올라가며 머리가 커서 그 모습이 꼭 사자를 닮았다.,"{'start': 0, 'end': 2, 'text': '삽살개', 'type': 'anm'}","{'start': 5, 'end': 6, 'text': '꼬리', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
14,"삽살개의 키는 수컷이 51cm, 암컷은 49cm이며 생김새는 온몸이 긴털로 덮여 있다.","삽살개의 키는 <sbj:수컷>이 <obj:51cm>, 암컷은 49cm이며 생김새는 온몸이 긴털로 덮여 있다.","{'start': 8, 'end': 9, 'text': '수컷', 'type': 'anm'}","{'start': 12, 'end': 15, 'text': '51cm', 'type': 'noh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
15,삽살개의 귀는 누웠으며 주둥이는 비교적 뭉툭하여 진돗개처럼 뾰족하지 않다.,<sbj:삽살개>의 <obj:귀>는 누웠으며 주둥이는 비교적 뭉툭하여 진돗개처럼 뾰족하지 않다.,"{'start': 0, 'end': 2, 'text': '삽살개', 'type': 'anm'}","{'start': 5, 'end': 5, 'text': '귀', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
16,삽살개의 눈은 털에 가려서 보이지 않는다.,<sbj:삽살개>의 <obj:눈>은 털에 가려서 보이지 않는다.,"{'start': 0, 'end': 2, 'text': '삽살개', 'type': 'anm'}","{'start': 5, 'end': 5, 'text': '눈', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
17,"삽살개의 성격은 대담하고 용맹하며, 주인에게 충성스럽지만 주인을 무는 경우도 있다.","<sbj:삽살개>의 성격은 <obj:대담>하고 용맹하며, 주인에게 충성스럽지만 주인을 무는 경우도 있다.","{'start': 0, 'end': 2, 'text': '삽살개', 'type': 'anm'}","{'start': 9, 'end': 10, 'text': '대담', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
18,특히 경산 삽살개는 고유 혈통 보존을 위해 천연기념물로 지정되어 보호받고 있다 하지만 일반 삽살이는 지금도 있지만 토종 삽살이는 일제시대 때 일본군이 다 죽여 없어졌다.,특히 경산 <obj:삽살개>는 고유 혈통 보존을 위해 <sbj:천연기념물>로 지정되어 보호받고 있다 하지만 일반 삽살이는 지금도 있지만 토종 삽살이는 일제시대 때 일본군이 다 죽여 없어졌다.,"{'start': 24, 'end': 28, 'text': '천연기념물', 'type': 'org'}","{'start': 6, 'end': 8, 'text': '삽살개', 'type': 'anm'}",org:sub_group,org:sub_group,org:sub_group,org:sub_group,org:sub_group
19,또한 샤르트뢰는 차분하고 점잖은 고양이로 알려져 있다.,또한 <sbj:샤르트뢰>는 <obj:차분>하고 점잖은 고양이로 알려져 있다.,"{'start': 3, 'end': 6, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 9, 'end': 10, 'text': '차분', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
20,샤르트뢰는 프랑스 16세기 문헌에 등장한다.,<sbj:샤르트뢰>는 프랑스 16세기 <obj:문헌>에 등장한다.,"{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 15, 'end': 16, 'text': '문헌', 'type': 'poh'}",anm:origin,anm:origin,anm:origin,anm:origin,anm:origin
21,샤르트뢰는 고양이로는 보기 드물게 비례의 체형을 가지고 있다.,<sbj:샤르트뢰>는 고양이로는 보기 드물게 <obj:비례의 체형>을 가지고 있다.,"{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 19, 'end': 24, 'text': '비례의 체형', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
22,"샤르트뢰의 털색은 트레디셔널 카테고리의 단색 부분에 속하며, 털색은 푸른색인데 진한 정도에 관계없이 인정되지만 은빛이 도는 것이 가장 바람직하다.","<sbj:샤르트뢰>의 털색은 트레디셔널 카테고리의 단색 부분에 속하며, 털색은 푸른색인데 진한 정도에 관계없이 인정되지만 <obj:은빛>이 도는 것이 가장 바람직하다.","{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 62, 'end': 63, 'text': '은빛', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
23,"샤르트뢰의 푸른 빛이 도는 털은 짧고 빽빽하게 나 있고, 양모 같은 털을 가지고 있어 털결이 부드럽다.","<sbj:샤르트뢰>의 <obj:푸른 빛>이 도는 털은 짧고 빽빽하게 나 있고, 양모 같은 털을 가지고 있어 털결이 부드럽다.","{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 6, 'end': 9, 'text': '푸른 빛', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
24,샤르트르 이름의 유래는 두가지 설이 가장 유력하다.,<sbj:샤르트르> 이름의 유래는 두가지 <obj:설>이 가장 유력하다.,"{'start': 0, 'end': 3, 'text': '샤르트르', 'type': 'anm'}","{'start': 17, 'end': 17, 'text': '설', 'type': 'poh'}",anm:origin,anm:origin,anm:origin,anm:origin,anm:origin
25,샤르트뢰는 프랑스 고양이의 한 품종이다.,<obj:샤르트뢰>는 <sbj:프랑스 고양이>의 한 품종이다.,"{'start': 6, 'end': 12, 'text': '프랑스 고양이', 'type': 'org'}","{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'org'}",org:sub_group,org:sub_group,org:sub_group,org:sub_group,org:sub_group
26,샤르트뢰의 체형은 세미 코비이고 상당히 큰 덩치를 가지고 있다.,<sbj:샤르트뢰>의 체형은 <obj:세미 코비>이고 상당히 큰 덩치를 가지고 있다.,"{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 10, 'end': 14, 'text': '세미 코비', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
27,1차세계대전 이후 프랑스 육종가는 샤르트뢰와 가장 흡사한 외형을 가진 품종을 엄선해 샤르트뢰와 이종교배시켰다.,1차세계대전 이후 프랑스 <obj:육종가>는 <sbj:샤르트뢰>와 가장 흡사한 외형을 가진 품종을 엄선해 샤르트뢰와 이종교배시켰다.,"{'start': 19, 'end': 22, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 14, 'end': 16, 'text': '육종가', 'type': 'org'}",anm:origin,anm:origin,anm:origin,anm:origin,anm:origin
28,"문헌에는 땅딸한 체형에 양모같은 검회색 털과 구리 색 눈의 '시리아 고양이'가 나오는데, 이 고양이의 생김새와 샤르트뢰의 외형이 일치한다.","문헌에는 땅딸한 체형에 양모같은 <obj:검회색 털>과 구리 색 눈의 '시리아 고양이'가 나오는데, 이 고양이의 생김새와 <sbj:샤르트뢰>의 외형이 일치한다.","{'start': 62, 'end': 65, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 18, 'end': 22, 'text': '검회색 털', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
29,십자군 전쟁 때 샤르트뢰를 유럽으로 들여왔다는 말도 있다.,<obj:십자군 전쟁> 때 <sbj:샤르트뢰>를 유럽으로 들여왔다는 말도 있다.,"{'start': 9, 'end': 12, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 0, 'end': 5, 'text': '십자군 전쟁', 'type': 'poh'}",anm:origin,anm:origin,anm:origin,anm:origin,anm:origin
30,"샤르트뢰의 눈은 크고 둥글게 생겼으며, 눈 색은 구리색이 대다수이나, 금색과 노란 빛을 띄기도 한다.","<sbj:샤르트뢰>의 <obj:눈>은 크고 둥글게 생겼으며, 눈 색은 구리색이 대다수이나, 금색과 노란 빛을 띄기도 한다.","{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 6, 'end': 6, 'text': '눈', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
31,"샤르트뢰의 머리는 넓고 둥글게 생겼으며, 머리 위에는 중간 크기보다 작은 귀가 머리 가장자리 안쪽에 위치한다.","<sbj:샤르트뢰>의 머리는 넓고 둥글게 생겼으며, 머리 위에는 중간 크기보다 작은 <obj:귀>가 머리 가장자리 안쪽에 위치한다.","{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 41, 'end': 41, 'text': '귀', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
32,샤르트뢰는 매우 영리한 품종으로 주인에게 헌신적이고 참을성이 뛰어나며 호전적이지 않고 독립심이 강하다.,<sbj:샤르트뢰>는 매우 영리한 품종으로 주인에게 헌신적이고 참을성이 뛰어나며 호전적이지 않고 <obj:독립심>이 강하다.,"{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 48, 'end': 50, 'text': '독립심', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
33,샤르트뢰는 튼튼한 몸통에 가느다란 다리를 가지고 있다.,<sbj:샤르트뢰>는 튼튼한 <obj:몸통>에 가느다란 다리를 가지고 있다.,"{'start': 0, 'end': 3, 'text': '샤르트뢰', 'type': 'anm'}","{'start': 10, 'end': 11, 'text': '몸통', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
34,"스핑크스는 큰 눈과 귀가 특징이며, 추위나 더위에 약하다.","<sbj:스핑크스>는 <obj:큰 눈>과 귀가 특징이며, 추위나 더위에 약하다.","{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 6, 'end': 8, 'text': '큰 눈', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
35,스핑크스는 털이 없어 다른 고양이들과는 다르게 주름이 잘 보인다.,<sbj:스핑크스>는 털이 없어 다른 고양이들과는 다르게 <obj:주름>이 잘 보인다.,"{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 26, 'end': 27, 'text': '주름', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
36,둘째로 캐너디언 스핑크스는 장 질환에 조금 민감한 편이다.,둘째로 <sbj:캐너디언 스핑크스>는 <obj:장 질환>에 조금 민감한 편이다.,"{'start': 4, 'end': 12, 'text': '캐너디언 스핑크스', 'type': 'anm'}","{'start': 15, 'end': 18, 'text': '장 질환', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
37,"스핑크스 고양이는 상냥하고 민첩하며, 특히 다른 고양이에 비해 사람의 말귀를 알아듣는 능력이 좋아서 주인의 기분이나 상황에 따라 눈치있게 움직이는 머리 좋은 고양이이다.","<sbj:스핑크스 고양이>는 <obj:상냥>하고 민첩하며, 특히 다른 고양이에 비해 사람의 말귀를 알아듣는 능력이 좋아서 주인의 기분이나 상황에 따라 눈치있게 움직이는 머리 좋은 고양이이다.","{'start': 0, 'end': 7, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 10, 'end': 11, 'text': '상냥', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
38,특히 스핑크스 고양이는 아이들에게 특별히 위험하지 않은 편이라 반려묘로 키우기에는 매우 많은 장점을 가지고 있다.,특히 <sbj:스핑크스 고양이>는 아이들에게 특별히 위험하지 않은 편이라 <obj:반려묘>로 키우기에는 매우 많은 장점을 가지고 있다.,"{'start': 3, 'end': 10, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 35, 'end': 37, 'text': '반려묘', 'type': 'org'}",anm:role,anm:role,anm:role,anm:role,anm:role
39,"스핑크스의 주름진 피부는 고운 솜털로 덮여 있으며 주둥이, 귀 뒤와 꼬리에 짤막한 털이 약간씩 나 있기도 하다.","<sbj:스핑크스>의 주름진 피부는 고운 솜털로 덮여 있으며 주둥이, 귀 뒤와 <obj:꼬리>에 짤막한 털이 약간씩 나 있기도 하다.","{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 38, 'end': 39, 'text': '꼬리', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
40,다른 고양이와 차별되는 스핑크스 고양이의 대표적인 성격이 사람과의 친화력이다.,다른 고양이와 차별되는 <sbj:스핑크스 고양이>의 대표적인 성격이 사람과의 <obj:친화력>이다.,"{'start': 13, 'end': 20, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 37, 'end': 39, 'text': '친화력', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
41,"스핑크스의 주둥이는 강하고 둥글며 수염자리에 브레이크가 있으나, 수염이 없는 아이도 있다.","<sbj:스핑크스>의 주둥이는 강하고 둥글며 <obj:수염자리>에 브레이크가 있으나, 수염이 없는 아이도 있다.","{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 19, 'end': 22, 'text': '수염자리', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
42,스핑크스 고양이를 실제로 만져보면 빌로드 천을 만지는 느낌처럼 매끄럽다.,<sbj:스핑크스 고양이>를 실제로 만져보면 <obj:빌로드 천>을 만지는 느낌처럼 매끄럽다.,"{'start': 0, 'end': 7, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 19, 'end': 23, 'text': '빌로드 천', 'type': 'poh'}",no_relation,no_relation,no_relation,no_relation,no_relation
43,스핑크스 고양이의 윤곽은 부드럽고 광대뼈가 튀어나와 있다.,<sbj:스핑크스 고양이>의 윤곽은 부드럽고 <obj:광대뼈>가 튀어나와 있다.,"{'start': 0, 'end': 7, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 19, 'end': 21, 'text': '광대뼈', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
44,"넓은 의미로 스핑크스 고양이는 털이 없는, 즉 무모 종의 고양이로 분류되는데, 이런 무모종의 고양이는 스핑크스 이외에도 데본렉스 와 코호나 라는 고양이가 대표적으로 꼽힌다.","넓은 의미로 스핑크스 고양이는 털이 없는, 즉 무모 종의 고양이로 분류되는데, 이런 <sbj:무모종>의 고양이는 스핑크스 이외에도 데본렉스 와 <obj:코호나> 라는 고양이가 대표적으로 꼽힌다.","{'start': 47, 'end': 49, 'text': '무모종', 'type': 'org'}","{'start': 74, 'end': 76, 'text': '코호나', 'type': 'anm'}",org:sub_group,org:sub_group,org:sub_group,org:sub_group,org:sub_group
45,움직임이 부드럽고 시원시원해서 고양이의 민첩함이 잘 드러나는 체형이다.,움직임이 부드럽고 시원시원해서 <sbj:고양이>의 <obj:민첩함>이 잘 드러나는 체형이다.,"{'start': 17, 'end': 19, 'text': '고양이', 'type': 'anm'}","{'start': 22, 'end': 24, 'text': '민첩함', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
46,또한 스핑크스 고양이 새끼는 성묘보다 주름이 좀 더 가늘고 많다.,또한 <sbj:스핑크스 고양이 새끼>는 성묘보다 <obj:주름>이 좀 더 가늘고 많다.,"{'start': 3, 'end': 13, 'text': '스핑크스 고양이 새끼', 'type': 'anm'}","{'start': 21, 'end': 22, 'text': '주름', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
47,"또한 스핑크스 고양이는 모든 피부가 노출되어 있다 보니 외부 자극, 예를 들어 다른 고양이와의 심한 장난 등에 따른 상처를 입기가 쉬워 이 점에도 유의하여야 하며, 그래서 스핑크스 고양이를 키우는 사람들은 대부분 고양이 전용의 옷을 입히기도 한다.","또한 <sbj:스핑크스 고양이>는 모든 <obj:피부>가 노출되어 있다 보니 외부 자극, 예를 들어 다른 고양이와의 심한 장난 등에 따른 상처를 입기가 쉬워 이 점에도 유의하여야 하며, 그래서 스핑크스 고양이를 키우는 사람들은 대부분 고양이 전용의 옷을 입히기도 한다.","{'start': 3, 'end': 10, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 16, 'end': 17, 'text': '피부', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
48,"스핑크스 고양이는 호기심이 많아 이곳 저곳 기웃 거리기를 잘 하는 것은 물론, 사람의 손끝이나 몸 위 등에서 장난하면서 사람을 친구삼아 놀이를 서슴지 않는다.","<sbj:스핑크스 고양이>는 <obj:호기심>이 많아 이곳 저곳 기웃 거리기를 잘 하는 것은 물론, 사람의 손끝이나 몸 위 등에서 장난하면서 사람을 친구삼아 놀이를 서슴지 않는다.","{'start': 0, 'end': 7, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 10, 'end': 12, 'text': '호기심', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
49,"넷째로 모든 반려동물을 키우면서 공통적으로 유의하여야 할 사항이지만, 특히 스핑크스 고양이는 거주 환경이 지저분하면 피부 노출이 원인이 되어 피부병이 생기기 쉬우므로 항상 환경을 깨끗이 하는 것이 좋다.","넷째로 모든 반려동물을 키우면서 공통적으로 유의하여야 할 사항이지만, 특히 <sbj:스핑크스 고양이>는 거주 환경이 지저분하면 피부 노출이 원인이 되어 <obj:피부병>이 생기기 쉬우므로 항상 환경을 깨끗이 하는 것이 좋다.","{'start': 42, 'end': 49, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 79, 'end': 81, 'text': '피부병', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
50,스핑크스는 대부분 주인에게 애교가 많으며 다른 고양이들과 다르게 야생성이 없다.,<sbj:스핑크스>는 대부분 주인에게 <obj:애교>가 많으며 다른 고양이들과 다르게 야생성이 없다.,"{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 15, 'end': 16, 'text': '애교', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
51,"셋째로 스핑크스 고양이는 피부에서 분비되는 지방분의 기름을 흡수해 줄 털이 없다 보니 몸에 기름기가 많아 져서 쉽게 때가 끼는 경우가 많고, 귓속의 기름귀지, 손 발톱 사이의 기름찌꺼기 등이 많이 생기므로 이를 처리해 주어야 한다. 때문에 정기적으로 전신 목욕과 귀, 손 발톱 틈새 청소를 해 주는 것이 좋다.","셋째로 <sbj:스핑크스 고양이>는 피부에서 분비되는 지방분의 기름을 흡수해 줄 털이 없다 보니 몸에 기름기가 많아 져서 쉽게 때가 끼는 경우가 많고, 귓속의 기름귀지, 손 발톱 사이의 <obj:기름찌꺼기> 등이 많이 생기므로 이를 처리해 주어야 한다. 때문에 정기적으로 전신 목욕과 귀, 손 발톱 틈새 청소를 해 주는 것이 좋다.","{'start': 4, 'end': 11, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 98, 'end': 102, 'text': '기름찌꺼기', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
52,"스핑크스는 털이 없는 대신, 피부에 유분기가 있다.","<sbj:스핑크스>는 털이 없는 대신, 피부에 <obj:유분기>가 있다.","{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 20, 'end': 22, 'text': '유분기', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
53,스핑크스의 얼굴은 큰 귀 때문에 길이에 비해 폭이 넓어 보이는 편이다.,<sbj:스핑크스>의 얼굴은 <obj:큰 귀> 때문에 길이에 비해 폭이 넓어 보이는 편이다.,"{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 10, 'end': 12, 'text': '큰 귀', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
54,캐너디언 스핑크스 고양이의 발생기원에 대해서는 여러 가지 설이 있다.,캐너디언 <sbj:스핑크스 고양이>의 발생기원에 대해서는 여러 가지 <obj:설>이 있다.,"{'start': 5, 'end': 12, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 32, 'end': 32, 'text': '설', 'type': 'poh'}",anm:origin,anm:origin,anm:origin,anm:origin,anm:origin
55,스핑크스는 중형의 고양이로서 세미포린 체형이다.,<sbj:스핑크스>는 중형의 고양이로서 <obj:세미포린 체형>이다.,"{'start': 0, 'end': 3, 'text': '스핑크스', 'type': 'anm'}","{'start': 16, 'end': 22, 'text': '세미포린 체형', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
56,스핑크스 고양이를 처음 대하는 사람들의 시선은 보통 극단적으로 나뉜다. 그 이유는 처음 접했을 때 여타 다른 고양이들과 너무나도 차별화되는 외모에 있다.,<sbj:스핑크스 고양이>를 처음 대하는 사람들의 시선은 보통 극단적으로 나뉜다. 그 이유는 처음 접했을 때 여타 다른 고양이들과 너무나도 <obj:차별화되는 외모>에 있다.,"{'start': 0, 'end': 7, 'text': '스핑크스 고양이', 'type': 'anm'}","{'start': 72, 'end': 79, 'text': '차별화되는 외모', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
57,"국내에서는 보통 캐너디언 스핑크스를 조금 더 품종묘 가치가 있다고 인정하는 분위기이고, 실제 거래가격도 비싼 편이다.","국내에서는 보통 <sbj:캐너디언 스핑크스>를 조금 더 품종묘 가치가 있다고 인정하는 분위기이고, 실제 <obj:거래가격>도 비싼 편이다.","{'start': 9, 'end': 17, 'text': '캐너디언 스핑크스', 'type': 'anm'}","{'start': 52, 'end': 55, 'text': '거래가격', 'type': 'poh'}",no_relation,no_relation,no_relation,no_relation,no_relation
